n = 30;
L = 23;
E = {
	<1	,	2>,
	<2	,	3>,
	<3	,	4>,
	<3	,	5>,
	<5	,	6>,
	<3	,	7>,
	<7	,	8>,
	<4	,	9>,
	<7	,	10>,
	<3	,	11>,
	<11	,	12>,
	<4	,	13>,
	<4	,	14>,
	<13	,	15>,
	<8	,	16>,
	<10	,	17>,
	<11	,	18>,
	<6	,	19>,
	<15	,	20>,
	<12	,	21>,
	<16	,	22>,
	<16	,	23>,
	<6	,	24>,
	<15	,	25>,
	<16	,	26>,
	<2	,	27>,
	<11	,	28>,
	<9	,	29>,
	<23	,	30>,
	<17	,	29>,
	<16	,	6>,
	<27	,	3>,
	<10	,	11>,
	<25	,	30>,
	<16	,	1>,
	<15	,	18>,
	<21	,	29>,
	<7	,	13>,
	<25	,	9>,
	<15	,	4>,
	<1	,	6>,
	<20	,	19>,
	<7	,	24>,
	<16	,	5>,
	<29	,	5>,
	<18	,	16>,
	<13	,	14>,
	<2	,	28>,
	<2	,	29>,
	<5	,	1>,
	<10	,	30>,
	<28	,	29>,
	<6	,	8>,
	<28	,	19>,
	<4	,	19>,
	<17	,	2>,
	<15	,	27>,
	<3	,	26>,
	<30	,	6>,
	<29	,	26>,
	<10	,	27>,
	<9	,	24>,
	<22	,	6>,
	<30	,	9>,
	<9	,	28>,
	<14	,	24>,
	<5	,	24>,
	<18	,	10>,
	<22	,	27>,
	<10	,	4>,
	<12	,	15>,
	<6	,	7>,
	<2	,	7>,
	<30	,	28>,
	<14	,	7>,
	<4	,	6>,
	<10	,	7>,
	<14	,	21>,
	<9	,	6>,
	<5	,	28>,
	<19	,	7>,
	<18	,	8>,
	<4	,	24>,
	<21	,	22>,
	<6	,	16>,
	<6	,	3>,
	<17	,	5>,
	<13	,	22>,
	<28	,	13>,
	<9	,	2>,
	<19	,	22>,
	<17	,	27>,
	<23	,	1>,
	<16	,	3>,
	<1	,	12>,
	<1	,	28>,
	<7	,	20>,
	<9	,	15>,
	<9	,	27>,
	<13	,	30>,
	<7	,	18>,
	<10	,	29>,
	<12	,	3>,
	<22	,	29>,
	<15	,	24>,
	<20	,	25>,
	<17	,	7>,
	<14	,	13>,
	<26	,	22>,
	<15	,	9>,
	<15	,	14>,
	<7	,	11>,
	<7	,	1>,
	<18	,	2>,
	<23	,	4>,
	<27	,	28>,
	<18	,	24>,
	<14	,	19>,
	<26	,	21>,
	<22	,	20>,
	<2	,	19>,
	<6	,	22>,
	<21	,	15>,
	<1	,	22>,
	<30	,	24>,
	<1	,	18>,
	<13	,	19>,
	<26	,	8>,
	<20	,	10>,
	<9	,	8>,
	<21	,	19>,
	<30	,	8>,
	<17	,	1>,
	<15	,	29>,
	<30	,	3>,
	<1	,	8>,
	<23	,	24>,
	<14	,	3>,
	<8	,	14>,
	<2	,	11>,
	<10	,	19>,
	<23	,	9>,
	<2	,	16>,
	<19	,	1>,
	<19	,	10>,
	<7	,	30>,
	<9	,	20>,
	<14	,	1>,
	<25	,	15>,
	<9	,	1>,
	<7	,	5>,
	<30	,	23>,
	<14	,	18>,
	<24	,	7>,
	<16	,	8>,
	<26	,	15>,
	<10	,	16>,
	<15	,	28>,
	<15	,	1>,
	<21	,	18>,
	<3	,	28>,
	<20	,	1>,
	<3	,	29>,
	<21	,	11>,
	<19	,	8>,
	<6	,	12>,
	<3	,	27>,
	<25	,	2>,
	<25	,	5>,
	<24	,	22>,
	<11	,	21>,
	<30	,	20>,
	<29	,	3>,
	<24	,	4>,
	<11	,	10>,
	<22	,	15>,
	<3	,	16>,
	<1	,	19>,
	<12	,	19>,
	<1	,	30>,
	<28	,	7>,
	<1	,	10>,
	<18	,	11>,
	<16	,	24>,
	<17	,	23>,
	<7	,	4>,
	<3	,	21>,
	<7	,	12>,
	<11	,	26>,
	<12	,	13>,
	<8	,	6>,
	<25	,	18>,
	<21	,	28>,
	<21	,	9>,
	<15	,	12>,
	<21	,	6>,
	<29	,	10>,
	<11	,	9>,
	<28	,	10>,
	<20	,	4>,
	<20	,	14>,
	<6	,	1>,
	<9	,	3>,
	<10	,	24>,
	<19	,	18>,
	<22	,	7>,
	<20	,	2>,
	<6	,	9>,
	<24	,	29>,
	<4	,	8>,
	<20	,	29>,
	<30	,	11>,
	<5	,	21>,
	<22	,	10>,
	<21	,	2>,
	<18	,	26>,
	<18	,	15>,
	<8	,	27>,
	<2	,	25>,
	<25	,	10>,
	<6	,	10>,
	<17	,	19>,
	<10	,	26>,
	<9	,	10>,
	<22	,	1>,
	<23	,	26>,
	<26	,	5>,
	<7	,	21>,
	<20	,	30>,
	<10	,	9>,
	<11	,	24>,
	<19	,	5>,
	<10	,	3>,
	<6	,	28>,
	<16	,	17>,
	<20	,	6>,
	<9	,	25>,
	<3	,	24>,
	<21	,	7>,
	<17	,	28>,
	<4	,	10>,
	<15	,	26>,
	<18	,	27>,
	<9	,	12>,
	<3	,	30>,
	<27	,	26>,
	<22	,	28>,
	<14	,	16>,
	<2	,	1>,
	<8	,	4>,
	<6	,	4>,
	<1	,	4>,
	<22	,	13>,
	<20	,	7>,
	<2	,	21>,
	<19	,	11>,
	<27	,	1>,
	<20	,	17>,
	<27	,	11>,
	<7	,	17>,
	<1	,	26>,
	<1	,	23>,
	<13	,	17>,
	<20	,	15>,
	<15	,	17>,
	<25	,	19>,
	<3	,	25>,
	<24	,	19>,
	<1	,	17>,
	<20	,	26>,
	<15	,	19>,
	<13	,	10>,
	<4	,	15>,
	<21	,	24>,
	<3	,	20>,
	<12	,	1>,
	<15	,	21>,
	<25	,	26>,
	<18	,	9>,
	<2	,	5>,
	<29	,	28>,
	<14	,	2>,
	<10	,	12>,
	<8	,	30>,
	<19	,	30>,
	<22	,	24>,
	<6	,	17>,
	<10	,	22>,
	<1	,	27>,
	<20	,	12>,
	<29	,	9>,
	<12	,	11>,
	<30	,	5>,
	<18	,	13>,
	<12	,	10>,
	<2	,	22>,
	<20	,	9>,
	<1	,	25>,
	<28	,	11>,
	<2	,	14>,
	<24	,	11>,
	<28	,	9>,
	<16	,	29>,
	<23	,	15>,
	<23	,	19>,
	<17	,	16>,
	<9	,	30>,
	<13	,	21>,
	<17	,	9>,
	<20	,	24>,
	<3	,	1>,
	<14	,	20>,
	<22	,	4>,
	<6	,	14>,
	<4	,	16>,
	<17	,	10>,
	<16	,	14>,
	<6	,	11>,
	<1	,	14>,
	<18	,	21>,
	<22	,	3>,
	<29	,	2>,
	<11	,	25>,
	<19	,	27>,
	<11	,	19>,
	<28	,	24>,
	<2	,	8>,
	<21	,	12>,
	<9	,	21>,
	<24	,	6>,
	<7	,	25>,
	<2	,	9>,
	<30	,	18>,
	<23	,	28>,
	<26	,	30>,
	<15	,	11>,
	<6	,	21>,
	<15	,	7>,
	<24	,	3>,
	<26	,	2>,
	<26	,	24>,
	<18	,	5>,
	<8	,	22>,
	<24	,	25>,
	<5	,	19>,
	<6	,	15>,
	<12	,	25>,
	<2	,	20>,
	<11	,	2>,
	<30	,	19>,
	<24	,	16>,
	<22	,	17>,
	<14	,	29>,
	<18	,	29>,
	<29	,	6>,
	<28	,	4>,
	<12	,	6>,
	<26	,	3>,
	<8	,	23>,
	<2	,	13>,
	<27	,	9>,
	<25	,	3>,
	<15	,	5>,
	<10	,	14>,
	<9	,	23>,
	<21	,	23>,
	<1	,	3>,
	<6	,	18>,
	<27	,	24>,
	<20	,	13>,
	<2	,	18>,
	<30	,	10>,
	<14	,	5>,
	<29	,	7>,
	<24	,	10>,
	<10	,	8>,
	<14	,	25>,
	<11	,	23>,
